Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:05:24,13.01,902,81.3144,14,23444,2.45
sVWGIOKA8gY,Deep Focus Music | 40Hz Gamma Binaural Beats for Concentration,"Apr 5, 2026",1408,0:03:08,13.36,223,11.6531,3,4970,2.72
DT0vCc17EGk,Burnout Music | Tanpura & Delta Waves | Nervous System Reset | 1 Hour,"Apr 12, 2026",3601,0:12:27,20.76,50,10.3841,0,1354,1.48
62FI6ji47L8,Emotional Release | Violin & 40Hz Gamma Waves | 1 Hour Emotional Healing Music,"Apr 11, 2026",3601,0:08:02,13.39,76,10.1784,1,1514,3.5
3TayWGNOyrY,Digital Detox Music | Dilruba Strings | Neural Rest | 1 Hour,"Apr 11, 2026",3601,0:06:10,10.28,67,6.8922,1,2239,2.77
PCshMQuu41I,ADHD Brain Fog Music | Sitar + 40Hz Gamma | 1 Hour Focus,"Apr 20, 2026",3603,0:07:36,12.68,54,6.8526,2,1431,2.73
bM4M5T6wW48,Clear Brain Fog | Sarangi 40Hz Gamma | 1Hour,"Apr 7, 2026",3601,0:11:16,18.78,34,6.3853,0,1438,1.46
3LZYCjFOeS4,Focus Music Santoor | 40Hz Gamma Waves | 40 Min Deep Work,"Apr 15, 2026",2402,0:07:50,19.59,44,5.7498,0,1315,2.28
o71DBMDTHyc,Mindful Music | Relaxation | 40Hz Gamma Binaural Beats,"Apr 6, 2026",2368,0:04:43,11.99,53,4.1798,0,1713,1.17
IwzyemqVh7c,Memory Recall | Sitar Music | Brainwave Entrainment | 20 Min,"Apr 12, 2026",1201,0:03:16,16.33,59,3.2139,0,1660,1.99
sGmvP8MMitg,Deep Work Music for Strategic Thinking | Bamboo Flute + 40Hz Gamma Binaural Beats for Focus,"Apr 14, 2026",4431,0:10:11,13.81,15,2.5491,0,825,1.33
4jtrdy4lfQU,Let Go Before Sleep | 40 Min Tanpura Drone for Insomnia & Calm,"Apr 19, 2026",2403,0:03:51,9.63,37,2.3796,0,1036,2.32
LMnHS9drakg,Cello for Creative Flow | 20 Min Focus | 6Hz Theta Waves,"Apr 9, 2026",1203,0:01:45,8.77,57,1.6697,3,1304,3.76
LZ8FJoKp1TA,Anxiety Relief Music | Sitar & Alpha Waves | 1 Hour Session,"Apr 17, 2026",3514,0:05:12,8.89,18,1.5618,0,340,4.41
aaaQjaYIiAg,Can't Focus? | 10 Min Deep Work Session | Raga-Inspired Piano Music,"Apr 8, 2026",603,0:03:17,32.76,26,1.4269,0,443,2.03
Tw2jFE-srGc,Mind at Rest | Sitar & Alpha Waves | 1 Hour Anxiety Relief Music,"Apr 21, 2026",3590,0:05:19,8.89,16,1.4183,0,545,2.75
0tbB-bD6wz0,Bansuri for Anxiety & Overthinking 🌿 | Mind Too Loud | 528Hz,"Apr 16, 2026",3603,0:26:52,44.76,3,1.3438,0,35,0
dyb6inFSyik,Tabla Music for Morning Focus & Motivation | 40Hz Gamma Energy,"Apr 13, 2026",3331,0:05:28,9.87,14,1.2787,0,80,11.25
1zXHn2Bpmms,Overcome Procrastination | Esraj Music | Start working now,"Apr 10, 2026",3603,0:02:18,3.84,23,0.8838,0,670,2.09
8XDHxadprKs,Acoustic Guitar Instrumental | 1 Hour Warm Gentle Music | 40Hz Gamma waves,"Apr 13, 2026",3603,0:02:54,4.83,18,0.8706,0,385,2.34
9xnTYcsyDig,Jet Lag Recovery | Sarod Echoes & 4.5Hz Theta | 1 Hour Session,"Apr 18, 2026",3320,0:02:30,4.51,10,0.4181,0,37,10.81
FQdazFAHWOo,Intuition Awakening Music | Swarmandal + Deep Delta Waves for Subconscious Healing & Meditation,"Apr 14, 2026",4915,0:00:11,0.23,4,0.0124,0,90,1.11